year,date,median,low,high
2020,2020-05-06,2,0,6
2020,2020-06-01,3,0,9
2020,2020-08-19,4,0,10
2019,2020-10-22,7,0,22
2020,2020-01-08,8,0,24
year,date,median,low,high
2020,2020-10-12,3,0,8
2020,2020-03-25,2,0,7
2020,2020-05-07,2,0,7
2020,2020-07-13,3,0,10
2020,2020-03-19,3,0,9
